name,population_code,population_latitude,population_longitude,site_name,survey_date,maternal_number,comments
Sorghastrum nutans,4028,39.09957,-96.58698,Konza Prairie,2013-10-15,100,
Bouteloua curtipendula,4002,36.85099,-96.42642,Tallgrass Prairie Preserve,2013-08-29,198,
Schizachyrium scoparium,4029,39.09957,-96.58698,Konza Prairie,2013-10-15,100,
Asclepias syriaca,3063,40.3348393,-95.1781775,Bilby Ranch Lake Conservation Area,2013-10-25,200,
Andropogon gerardi,4030,39.09957,-96.58698,Konza Prairie,2013-10-15,200,
Helianthus annuus,3061,40.3348393,-95.1781775,Bilby Ranch Lake Conservation Area,2013-10-24,200,
Helianthus annuus,4010,45.69833,-99.07676,"Samuel H. Ordway, Jr. Memorial Preserve",2013-09-23,148,
Helianthus annuus,3062,40.3704071,-95.1769547,Bilby Ranch Lake Conservation Area,2013-10-25,200,
Andropogon gerardi,3067,36.606939,-87.9569976,Land Between the Lakes National Recreation Area,2013-10-28,200,
Amorpha canescens,4011,45.71686,-99.1042,"Samuel H. Ordway, Jr. Memorial Preserve",2013-09-24,100,
Sorghastrum nutans,3074,36.606939,-87.9569976,Land Between the Lakes National Recreation Area,2013-10-28,100,
Chamaecrista fasciculata,4033,36.84456,-96.42782,Tallgrass Prairie Preserve,2013-10-16,50,
Andropogon gerardi,4012,45.71686,-99.1042,"Samuel H. Ordway, Jr. Memorial Preserve",2013-09-24,100,
Andropogon gerardi,3069,36.7838773,-88.0667528,Land Between the Lakes National Recreation Area,2013-10-29,200,
Schizachyrium scoparium,4013,45.71686,-99.1042,"Samuel H. Ordway, Jr. Memorial Preserve",2013-09-24,100,
Sorghastrum nutans,3068,36.7847634,-88.0673941,Land Between the Lakes National Recreation Area,2013-10-29,100,
Andropogon gerardi,4031,41.69171,-94.58662,Sheeder Prairie State Preserve,2013-10-13,135,
Echinacea pallida,4014,45.71686,-99.1042,"Samuel H. Ordway, Jr. Memorial Preserve",2013-09-24,100,
Andropogon gerardi,3070,37.9475819,-91.1761297,Reis Biological Station,2013-10-30,153,
Sorghastrum nutans,3071,40.368773,-91.400534,Alice L. Kibbe Life Science Research Station,2013-10-30,100,
Sorghastrum nutans,3072,40.3695721,-91.4072398,Alice L. Kibbe Life Science Research Station,2013-10-31,100,
Schizachyrium scoparium,3073,40.9734463,-90.0942698,Green Oaks Biological Field Station,2013-10-31,100,
Sorghastrum nutans,4032,41.69059,-94.58648,Sheeder Prairie State Preserve,2013-10-13,67,
Schizachyrium scoparium,4018,47.5344,-100.81174,John E. Williams Preserve,2013-09-22,100,
Echinacea pallida,4008,43.44671,-94.87082,Anderson Prairie State Preserve,2013-09-02,110,
Echinacea pallida,4019,47.53477,-100.81255,John E. Williams Preserve,2013-09-22,200,
Andropogon gerardi,4020,47.53477,-100.40862,John E. Williams Preserve,2013-09-22,100,
Amorpha canescens,4009,43.44152,-94.87372,Anderson Prairie State Preserve,2013-09-02,100,
Amorpha canescens,4015,47.19809,-96.1783,Frenchman's Bluff,2013-09-20,100,
Schizachyrium scoparium,4035,43.44455,-94.87069,Anderson Prairie State Preserve,2013-10-12,50,
Echinacea pallida,4016,47.19784,-96.17883,Frenchman's Bluff,2013-09-20,49,
Schizachyrium scoparium,4017,47.19724,-96.17713,Frenchman's Bluff,2013-09-21,100,
Amorpha canescens,5993,42.10771,-95.97366,Sylvan Runkel State Preserve,2013-09-01,100,
Andropogon gerardi,4040,46.40389,-91.64452,Douglas County Pine Barrens,2013-10-24,200,
Echinacea pallida,4007,42.10771,-95.97366,Sylvan Runkel State Preserve,2013-09-01,100,
Penstemon digitalis,3020,41.8811829,-89.3548216,Nachusa Grasslands,2013-09-19,100,
Rumex hastatulus,6060,35.72059,-77.57545,Otter Creek,2014-05-20,100,
Geranium carolinianum,6065,35.72059,-77.57545,Otter Creek,2014-05-31,100,
Salvia lyrata,6061,36.001265,-78.961593,Duke Forest,2014-05-30,100,
Salvia lyrata,6062,36.0247,-78.996058,Duke Forest,2014-05-30,100,
Geranium carolinianum,6063,36.0247,-78.996038,Duke Forest,2014-05-30,100,
Triodanis perfoliata,6064,37.38731,-79.53914,Claytor Nature Study Center run by Lynchburg College,2014-06-05,100,
Geranium carolinianum,6066,37.38732,-79.53913,Claytor Nature Study Center run by Lynchburg College,2014-06-05,100,
Salvia lyrata,6067,37.38731,-79.53914,Claytor Nature Study Center run by Lynchburg College,2014-06-04,49,
Salvia lyrata,6068,39.06359,-78.0642,Blandy Experimental Farm,2014-06-05,104,
Geranium maculatum,6069,41.1853399,-73.6222839,Mianus River Gorge,2014-06-18,53,
Geranium carolinianum,6100,32.22237,-81.73563,Savannah River Site,2014-06-03,100,
Rumex hastatulus,6101,33.31137,-81.70782,Savannah River Site,2014-06-03,100,
Melilotus officinalis,6076,40.54502,-74.62237,Duke Farms,2014-07-02,57,
Rumex crispus,6075,40.54502,-74.62238,Duke Farms,2014-07-02,65,
Geranium maculatum,6070,40.2133,-78.919,Raystown Field Station,2014-06-19,52,
Geranium maculatum,6072,41.4018,-73.5355,Vassar Ecological Preserve,2014-06-20,112,
Rumex crispus,6074,40.5491,-74.62193,Duke Farms,2014-07-02,83,
Triodanis perfoliata,6080,35.72071,-77.5158,Otter Creek,2014-05-20,100,
Triodanis perfoliata,6080,35.72071,-77.5158,Otter Creek,2014-05-20,100,
Impatiens pallida,6081,39.06118,-78.07784,Blandy Experimental Farm,2014-06-17,110,
Melilotus officinalis,6082,39.20039,-78.12956,Red Bud Run,2014-06-17,50,
Raphanus sativus,6102,33.34838,-81.82996,Savannah River Site,2014-06-03,100,
Rumex hastatulus,6108,43.33753,-70.55233,Wells National Estuarine Research Reserve,2014-08-08,100,
Dactylis glomerata,6109,43.33766,-70.55295,Wells National Estuarine Research Reserve,2014-08-08,70,
Rumex hastatulus,6110,43.94392,-71.70091,Hubbard Brook,2014-08-09,100,
Rumex hastatulus,6111,43.93642,-71.68352,Hubbard Brook,2014-08-09,100,
Rumex hastatulus,6112,42.4482,-72.67925,Ada and Archibald Macleish Field Station,2014-08-10,100,
Rumex crispus,6113,42.44814,-72.67938,Ada and Archibald Macleish Field Station,2014-08-10,100,
Dactylis glomerata,6114,42.44814,-72.67938,Ada and Archibald Macleish Field Station,2014-08-10,100,
Bromus tectorum,154,37.33192,-107.90416,San Juan National Forest,2014-06-27,100,
Bromus tectorum,93,37.56865,-109.58711,San Juan County,2014-06-14,100,
Bromus tectorum,151,37.45181,-107.68031,San Juan National Forest,2014-06-27,76,
Bromus tectorum,149,37.30467,-107.48619,San Juan National Forest,2014-06-26,51,
Bromus tectorum,148,37.32099,-107.48268,San Juan National Forest,2014-06-26,76,
Bromus tectorum,128,40.67504,-104.41075,Pawnee National Grassland,2014-06-21,100,
Bromus tectorum,127,40.65021,-104.38299,Pawnee National Grassland,2014-06-21,100,
Bromus tectorum,123,40.64387,-104.34013,Pawnee National Grassland,2014-06-20,100,
Bromus tectorum,110,40.04465,-111.48029,Uinta National Forest,2014-06-16,100,
Bromus tectorum,108,40.07167,-111.43804,Uinta National Forest,2014-06-16,100,
Bromus tectorum,91,37.68745,-109.44943,Recapture Resevoir,2014-06-14,100,
Melilotus officinalis,89,34.83386,-109.81839,Petrified Forest National Park,2014-06-28,100,
Mimulus guttatus,70,36.318567,-117.525,Death Valley National Park,2014-06-09,89,
Stipa pulchra,19,34.70199,-120.05434,Sedgwick Reserve,2013-04-28,83,
Bromus tectorum,135,37.78857,-107.12614,Rio Grande National Forest,2014-06-24,10,
Clarkia unguiculata,367,35.51935,-118.65966,Democrat campground,2014-08-20,55,
Clarkia unguiculata,369,39.00443,-120.92724,Auburn State Rec Area,2014-08-31,76,
Clarkia unguiculata,368,39.68256,-121.39094,Plumas National Forest,2014-08-31,56,
Mimulus guttatus,337,40.35101,-121.51891,Lassen National Forest,2014-08-29,31,
Mimulus guttatus,34,40.14166,-121.26956,Lassen National Forest,2014-08-29,24,
Clarkia unguiculata,365,35.53266,-118.62877,Old Kern Canyon Road,2014-08-20,84,
Clarkia unguiculata,362,38.93301,-121.01162,Auburn State Rec Area,2014-08-15,150,
Clarkia unguiculata,360,37.59151,-120.13056,Merced River Crossing at 49,2014-08-15,71,
